time,spent,allocation
0,60,160
1,84,291
2,140,434
3,200,571
4,276,667
5,368,851
6,448,981
7,512,1100
8,572,1223
9,640,1347
10,764,1465
11,864,1631
12,988,1805
13,1092,1936
14,1204,2034
15,1364,2186
16,1504,2302
17,1668,2488
18,1804,2640
19,1984,2771
20,2156,2885
21,2380,3019
22,2584,3152
23,2768,3272
24,3008,3496
25,3256,3619
26,3460,3773
27,3720,3902
28,3972,4040
29,4220,4220
30,4524,4416
31,4884,4565
32,5200,4682
33,5564,4885
34,5940,5027
35,6244,5155
36,6572,5293
37,6944,5422
38,7320,5577
39,7700,5724
40,7980,5854
41,8372,5942
42,8792,6084
43,9268,6312
44,9724,6496
45,10180,6561
46,10620,6675
47,11092,6786
48,11568,6964
49,12036,7087
50,12500,7243
51,12948,7377
52,13452,7514
53,13972,7616
54,14468,7785
55,14964,7921
56,15436,8090
57,15996,8225
58,16508,8363
59,17044,8526
60,17556,8688
61,18060,8845
62,18620,8958
63,19256,9127
64,19868,9310
65,20444,9470
66,20948,9593
67,21508,9744
68,22012,9944
69,22596,10052
70,23176,10205
71,23732,10339
72,24236,10421
73,24776,10581
74,25396,10706
75,25948,10706
76,26460,10706
77,26900,10706
78,27452,10706
79,27972,10706
80,28456,10706
81,29012,10706
82,29464,10706
83,29980,10706
84,30472,10706
85,30980,10706
86,31504,10706
87,32000,10706
88,32440,10706
89,32848,10706
90,33344,10706
91,33764,10706
92,34164,10706
93,34576,10706
94,34960,10706
95,35320,10706
96,35780,10706
97,36132,10706
98,36444,10706
99,36828,10706
100,37172,10706
101,37504,10706
102,37820,10706
103,38156,10706
104,38416,10706
105,38640,10706
106,38896,10706
107,39156,10706
108,39436,10706
109,39680,10706
110,39872,10706
111,40092,10706
112,40280,10706
113,40476,10706
114,40664,10706
115,40820,10706
116,40924,10706
117,41052,10706
118,41208,10706
119,41352,10706
120,41512,10706
121,41596,10706
122,41708,10706
123,41800,10706
124,41876,10706
125,41968,10706
126,42080,10706
127,42180,10706
128,42272,10706
129,42320,10706
130,42388,10706
131,42420,10706
132,42484,10706
133,42536,10706
134,42572,10706
135,42608,10706
136,42632,10706
137,42648,10706
138,42664,10706
139,42688,10706
140,42704,10706
141,42708,10706
142,42720,10706
143,42736,10706
144,42748,10706
145,42764,10706
146,42772,10706
147,42792,10706
148,42796,10706
149,42800,10706
150,42804,10706
151,42804,10706
152,42808,10706
153,42816,10706
154,42820,10706
155,42820,10706
156,42820,10706
157,42824,10706
158,42824,10706
159,42824,10706
160,42824,10706
161,42824,10706
162,42824,10706
163,42824,10706
164,42824,10706
165,42824,10706
166,42824,10706
167,42824,10706
168,42824,10706
169,42824,10706
170,42824,10706
171,42824,10706
172,42824,10706
173,42824,10706
174,42824,10706
175,42824,10706
176,42824,10706
177,42824,10706
178,42824,10706
179,42824,10706
180,42824,10706
181,42824,10706
182,42824,10706
183,42824,10706
184,42824,10706
185,42824,10706
186,42824,10706
187,42824,10706
188,42824,10706
189,42824,10706
190,42824,10706
191,42824,10706
192,42824,10706
193,42824,10706
194,42824,10706
195,42824,10706
