time,spent,allocation
0,40,142
1,96,294
2,132,445
3,180,538
4,272,741
5,356,886
6,428,1005
7,516,1152
8,608,1310
9,696,1471
10,784,1639
11,880,1798
12,1008,1982
13,1172,2144
14,1248,2274
15,1400,2424
16,1600,2636
17,1780,2807
18,1968,2947
19,2112,3141
20,2272,3296
21,2512,3458
22,2724,3613
23,2968,3761
24,3232,3920
25,3468,4116
26,3800,4279
27,4104,4496
28,4460,4609
29,4792,4741
30,5120,4897
31,5468,5045
32,5772,5170
33,6100,5289
34,6516,5431
35,6912,5560
36,7360,5740
37,7732,5906
38,8148,6107
39,8576,6250
40,9036,6427
41,9524,6582
42,9904,6724
43,10396,6895
44,10892,7060
45,11400,7207
46,11884,7367
47,12388,7512
48,12892,7663
49,13368,7869
50,13920,8000
51,14440,8162
52,14992,8325
53,15508,8505
54,16084,8689
55,16712,8830
56,17280,9030
57,17932,9212
58,18564,9374
59,19168,9549
60,19864,9738
61,20472,9888
62,20980,9956
63,21496,10063
64,22164,10177
65,22744,10260
66,23352,10315
67,23956,10388
68,24492,10423
69,25052,10437
70,25624,10437
71,26232,10437
72,26784,10437
73,27408,10437
74,27924,10437
75,28392,10437
76,28960,10437
77,29452,10437
78,29960,10437
79,30420,10437
80,30888,10437
81,31336,10437
82,31772,10437
83,32168,10437
84,32644,10437
85,33048,10437
86,33468,10437
87,33932,10437
88,34336,10437
89,34732,10437
90,35144,10437
91,35500,10437
92,35812,10437
93,36112,10437
94,36436,10437
95,36764,10437
96,37088,10437
97,37440,10437
98,37680,10437
99,37960,10437
100,38272,10437
101,38456,10437
102,38728,10437
103,38928,10437
104,39168,10437
105,39356,10437
106,39516,10437
107,39688,10437
108,39900,10437
109,40092,10437
110,40256,10437
111,40416,10437
112,40504,10437
113,40588,10437
114,40724,10437
115,40788,10437
116,40864,10437
117,41000,10437
118,41060,10437
119,41116,10437
120,41180,10437
121,41240,10437
122,41332,10437
123,41368,10437
124,41404,10437
125,41428,10437
126,41472,10437
127,41520,10437
128,41532,10437
129,41556,10437
130,41584,10437
131,41604,10437
132,41620,10437
133,41628,10437
134,41632,10437
135,41640,10437
136,41664,10437
137,41676,10437
138,41680,10437
139,41696,10437
140,41708,10437
141,41712,10437
142,41720,10437
143,41724,10437
144,41724,10437
145,41732,10437
146,41732,10437
147,41732,10437
148,41732,10437
149,41736,10437
150,41736,10437
151,41736,10437
152,41736,10437
153,41736,10437
154,41740,10437
155,41740,10437
156,41744,10437
157,41744,10437
158,41744,10437
159,41744,10437
160,41748,10437
161,41748,10437
162,41748,10437
163,41748,10437
164,41748,10437
165,41748,10437
166,41748,10437
167,41748,10437
168,41748,10437
169,41748,10437
170,41748,10437
171,41748,10437
172,41748,10437
173,41748,10437
174,41748,10437
175,41748,10437
176,41748,10437
177,41748,10437
178,41748,10437
179,41748,10437
180,41748,10437
181,41748,10437
182,41748,10437
183,41748,10437
184,41748,10437
185,41748,10437
186,41748,10437
187,41748,10437
188,41748,10437
189,41748,10437
190,41748,10437
191,41748,10437
192,41748,10437
193,41748,10437
194,41748,10437
195,41748,10437
196,41748,10437
197,41748,10437
198,41748,10437
199,41748,10437
200,41748,10437
201,41748,10437
202,41748,10437
203,41748,10437
204,41748,10437
205,41748,10437
206,41748,10437
207,41748,10437
208,41748,10437
209,41748,10437
210,41748,10437
211,41748,10437
212,41748,10437
213,41748,10437
214,41748,10437
215,41748,10437
216,41748,10437
217,41748,10437
218,41748,10437
219,41748,10437
220,41748,10437
221,41748,10437
222,41748,10437
223,41748,10437
224,41748,10437
225,41748,10437
226,41748,10437
227,41748,10437
228,41748,10437
229,41748,10437
230,41748,10437
231,41748,10437
232,41748,10437
233,41748,10437
234,41748,10437
235,41748,10437
236,41748,10437
237,41748,10437
238,41748,10437
239,41748,10437
240,41748,10437
241,41748,10437
242,41748,10437
243,41748,10437
244,41748,10437
245,41748,10437
246,41748,10437
247,41748,10437
248,41748,10437
249,41748,10437
250,41748,10437
251,41748,10437
252,41748,10437
253,41748,10437
254,41748,10437
255,41748,10437
256,41748,10437
257,41748,10437
258,41748,10437
259,41748,10437
260,41748,10437
261,41748,10437
262,41748,10437
263,41748,10437
264,41748,10437
265,41748,10437
266,41748,10437
267,41748,10437
268,41748,10437
269,41748,10437
270,41748,10437
271,41748,10437
272,41748,10437
273,41748,10437
274,41748,10437
275,41748,10437
276,41748,10437
277,41748,10437
278,41748,10437
279,41748,10437
280,41748,10437
281,41748,10437
282,41748,10437
283,41748,10437
284,41748,10437
285,41748,10437
286,41748,10437
287,41748,10437
288,41748,10437
289,41748,10437
290,41748,10437
291,41748,10437
292,41748,10437
293,41748,10437
294,41748,10437
295,41748,10437
296,41748,10437
297,41748,10437
298,41748,10437
299,41748,10437
300,41748,10437
301,41748,10437
302,41748,10437
303,41748,10437
304,41748,10437
305,41748,10437
306,41748,10437
307,41748,10437
308,41748,10437
309,41748,10437
310,41748,10437
311,41748,10437
312,41748,10437
313,41748,10437
